"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6012.03062940503","7222.69489135401","8812.50360934308","10218.9620305927","10896.2755697685","11848.6811671204","12414.409677618","13041.8645275877","14262.9963666872","14572.2832658615","14590.028869123","15480.9117246114","16674.1609143795","16789.7339890529","18299.4364967131","17979.8881895396","17619.8718578546","19081.501084042","20422.2242920884","16794.3868236085","21180.0594754113","20093.6724534741","24097.9467110425","21733.0746173795","20212.2439423195","20565.9352608544","21395.3346349053","21530.6779301546","22415.9932500023","23278.8227270299","23167.7123061073","23716.2378742097","24187.0664613255","26027.0171242373","20584.7912597757","24724.8665721459","","",
"Africa Eastern and Southern","AFE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","558.715020189731","506.797522328134","535.25660439374","482.196808598474","381.313336208986","408.924157489489","492.501737852496","519.596870187029","529.273237998508","570.645599281436","595.932985401626","576.080259677688","558.187514167853","550.925184539003","608.611982071987","599.42324388391","616.256014747349","565.06607547055","547.993087448084","571.548507884481","494.650657197329","489.417347982482","645.671936138345","786.349188811441","878.766041988652","937.455585007485","1000.66128063249","979.32184430628","1068.49685024245","1220.23399789129","1323.05304800209","1326.05782057498","1310.1552721566","1326.71285324634","1222.00757893164","1154.55476086437","1298.11640926511","1241.67459710128","1212.68901253397","1098.09261098553","1214.87328241925","","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","147.709169161352","150.772962595376","128.296488882664","135.151412518198","163.370030318147","173.577068067591","183.125316371593","207.427049893525","227.638310595613","253.880571749312","257.82263205199","272.978992094199","","","","","","","","","","","","","","","","","","","","","","","","","","","","403.411183496525","505.230192626939","566.66810049764","605.752003662601","597.356158043866","575.916815423607","548.968454484921","484.890589729187","497.406028699116","466.570601616442","468.403505762558","475.718084233299","340.523243575066","","",
"Africa Western and Central","AFW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","195.831756313554","138.579989812954","162.296827888586","193.783381476981","241.071581397497","290.188232892352","348.361405543822","346.829621529123","379.711152654348","389.932726011053","512.294771160643","1100.94926502326","967.515142009636","681.424205389902","539.170132150038","526.819093499244","487.178902593289","472.463750146487","465.720778099434","388.325393563044","439.709068186771","433.823165409411","419.612031059863","331.658983252041","284.151984700549","348.836859689892","376.618351776368","374.05875394749","387.574400404258","405.796237319428","358.355656441257","389.309172683286","466.755195365655","518.033501460881","614.580860912903","714.156914336222","951.89695260999","1072.39305413939","1255.7105669762","1138.73992492208","1250.20327259336","1344.99506657198","1451.21938772724","1642.52711906951","1797.19322673774","1553.65415750155","1366.27021097477","1286.95689938616","1382.67500505744","1412.16767322941","1374.44485977008","1393.44231755267","","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","555.911493753967","570.539647163951","494.149930590605","467.002725439816","676.786237902672","572.331758322742","696.552720278739","76.4838071122152","90.243763925886","15.7325786541109","183.859483431441","211.60316859914","269.44886967616","256.446055560045","166.396580526252","201.408987854966","254.31592168361","553.306685097135","659.926923076585","779.472756094735","1019.35264174305","1377.04750503861","1478.4063251158","1516.98612035442","1870.28744759066","1874.74828012534","2463.65471862411","2865.33333780367","3185.33364049508","3486.75310038908","2371.99561912402","1206.04353662907","1500.33574073929","1506.72537062869","1327.80344902045","1100.21749579316","1231.92513309873","","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","511.604863994448","511.137515594665","571.545431362371","550.389888480564","520.80485644553","560.432668363939","491.207828065785","250.883167599471","136.05456779476","316.128432130117","508.952316437995","669.043649546814","914.573037886509","643.215894620855","749.072786404266","949.097159329714","1038.95668573873","1186.74338268123","1308.21655164817","1699.39248932487","2171.04442045365","2437.80154959898","2742.93361073877","3229.97720153639","3830.34092728254","3517.60915298582","3509.84273933796","3753.96548548714","3522.37285714341","3757.69694624319","3844.27714101452","3277.78824342231","3467.34757015458","3729.9682187209","4340.91985405721","4361.99929292963","4322.54967533332","5262.91359620389","","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1406.24744437969","1531.78003338266","1538.22481134481","1427.5540920067","1387.06887884168","1338.18910666698","1311.87873050139","1322.27904091183","1302.07861084559","1303.71327529038","1711.76771229436","1647.26651529978","1773.45695239102","1731.24335409086","1712.37830862874","1850.81357623445","1953.15900278961","2080.18418496834","2017.24494861519","2151.65750772422","2318.13707051145","2256.19291805848","2236.35782951756","2368.11542061015","2715.23228101777","3163.27430321796","3699.55575239999","4258.67318884501","5128.37992800854","4575.86469188952","5202.45108683885","5351.76302645877","5788.83978617351","5816.73112332613","5871.90656839461","5219.88246019688","5132.95012507738","5138.89411886284","5327.29573919465","5301.29420934382","4727.76208631425","","","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27273.9591576502","25741.3083522085","24733.5163360987","26025.9666784017","29367.5892166255","32829.5568203638","37719.5310987804","39986.8541720853","42200.7742013122","32273.1223960587","37615.0752928902","43434.61702074","45968.1522391585","46197.4104149389","46014.762417163","39877.4180425213","38136.5200928587","38984.6967149319","41349.3459632053","40195.6918623453","33903.4342222379","","","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1198.50298256961","1305.18069009907","1299.39775066718","1971.96644324083","2648.51669614368","1893.95270371403","1785.7857940804","1944.39799182956","1945.74187719791","2223.86594162059","2404.41303172113","2391.51787255383","2470.89455567895","3019.56471388369","2260.95768234999","2484.67287973919","3168.21181514082","3099.95638328893","3479.59494480442","1921.6102834084","3682.8700868946","5022.47844832387","6055.31341554925","6175.97567066052","6561.21005348244","6373.77448402385","6673.0112057081","7048.46252075139","7085.44992608178","6523.52890675623","6406.18525429777","5979.26376052811","1987.6868785557","2692.26640866572","3194.70823444257","3797.81840518292","4876.98577547155","6089.63514482018","7545.53378699695","6808.99587703843","8565.3662972312","10604.5815493984","10774.0929660292","10811.8698739139","10181.068967686","11668.4363712122","10789.0752361646","12508.8260126261","9844.1016409587","8237.6981192802","7241.03030233067","9092.08560830429","","",
"Armenia","ARM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","390.636506595699","426.738067829575","454.371315134657","519.540562046365","509.572033196819","516.236396537819","575.036827621331","644.454272672448","775.370297985122","1012.34513954411","1404.74990032382","1871.85388833285","2742.2644353312","3546.08423602177","2583.61613061685","2758.45814291575","2999.03360449679","3172.03440849408","3409.88671346962","3524.89087138158","3150.66954352232","3108.22044979775","3475.20434794516","3687.29152233789","4019.85844444165","3617.03199044272","3790.56480898451","","",
"American Samoa","ASM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2692.518583939","2843.53999578725","3265.21803706392","3961.9725580704","5350.45667030888","5800.84457244687","6205.38118007519","6336.90327976791","6735.98854894708","7428.28883191512","8172.98854551389","9728.45180116865","10258.1812789796","9380.93415442332","10074.8150596864","9142.59600268097","9054.96445180165","9257.534951424","11456.1792410258","14164.7447035504","14199.3838590817","14632.7086233586","14470.3100400954","13945.3983231542","14441.5394454548","16118.0465390039","17458.7387478999","18756.0527008555","17083.6828484947","16493.576034341","17264.5748283029","15632.6872788808","16161.3183536818","18933.2480801539","24524.4980341804","26918.7794818103","28348.2066374157","31382.2393639742","38072.6751896914","33482.7319025883","40434.7356960586","48363.1354657542","53605.7387158548","53871.5549340191","48732.9249252793","44512.5960291842","39077.6893174716","42069.0851472692","44204.1255021825","42130.8946366101","40036.4458219231","45710.8904505974","","",
"Austria","AUT","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1761.3835796701","2033.97076127957","2497.41779108633","3332.0987124018","3957.52419192289","4500.81685160961","4855.45655602095","5800.34586899632","6956.92337174256","8311.17261466416","9175.13529370069","7864.49131458704","7896.85616485326","8040.73566627408","7571.96749919933","7740.78904142088","11018.2767609332","13792.3239790077","14880.0643679759","14792.5580327932","18400.4300612695","18906.0615202247","20999.6474181654","20251.0989411704","21546.5845640188","25386.4887277949","25025.5534198687","22282.1452635772","22789.9986892811","22355.1945001538","20391.6238651787","20142.9099925948","21920.5219775302","26718.4184396893","30611.249197044","31858.6160351506","33992.1804344707","39159.0057763079","43635.1099279055","39649.3948236994","39022.2561552357","42625.237354533","39980.6308392887","41694.0714086868","42465.7666055794","35811.6857751508","37196.1677474225","38441.7327185494","41651.8073903702","40712.5753412494","39515.5574069958","43281.7334797461","","",
